,Year,Month,Beverage,Gallons,Ethanol,Population,PerCapita,PerCapita3yr,PctChange,State
0,2017,1,1,103645,42598,593378,0.0718,,,Alaska
1,2017,1,1,402885,165586,2455022,0.0674,,,Arkansas
2,2017,1,1,733857,301615,4634346,0.0651,,,Colorado
3,2017,1,1,412100,169373,3015481,0.0562,,,Connecticut
4,2017,1,1,2770686,1138752,17722275,0.0643,,,Florida
5,2017,1,1,1044642,429348,10556100,0.0407,,,Illinois
6,2017,1,1,389012,159884,2356231,0.0679,,,Kansas
7,2017,1,1,779156,320233,3670568,0.0872,,,Kentucky
8,2017,1,1,633111,260209,3807282,0.0683,,,Louisiana
9,2017,1,1,520076,213751,5815595,0.0368,,,Massachusetts
10,2017,1,1,633870,260521,5037634,0.0517,,,Missouri
11,2017,1,1,123893,50920,613251,0.083,,,North Dakota
12,2017,1,1,1220401,501585,5545920,0.0904,,,Tennessee
13,2017,1,1,4141099,1701992,22572383,0.0754,,,Texas
14,2017,1,1,807880,332039,7015247,0.0473,,,Virginia
15,2017,1,1,1387718,570352,4805415,0.1187,,,Wisconsin
16,2017,1,2,140499,18124,593378,0.0305,,,Alaska
17,2017,1,2,451444,58236,2455022,0.0237,,,Arkansas
18,2017,1,2,1146987,147961,4634346,0.0319,,,Colorado
19,2017,1,2,794732,102520,3015481,0.034,,,Connecticut
20,2017,1,2,5987405,772375,17722275,0.0436,,,Florida
21,2017,1,2,2113935,272698,10556100,0.0258,,,Illinois
22,2017,1,2,736522,95011,3670568,0.0259,,,Kentucky
23,2017,1,2,691735,89234,3807282,0.0234,,,Louisiana
24,2017,1,2,1342858,173229,5815595,0.0298,,,Massachusetts
25,2017,1,2,972384,125437,5037634,0.0249,,,Missouri
26,2017,1,2,96753,12481,613251,0.0204,,,North Dakota
27,2017,1,2,1476304,190443,3468412,0.0549,,,Oregon
28,2017,1,2,1634857,210897,5545920,0.038,,,Tennessee
29,2017,1,2,6021965,776833,22572383,0.0344,,,Texas
30,2017,1,2,1879813,242496,7015247,0.0346,,,Virginia
31,2017,1,2,1277174,164756,4805415,0.0343,,,Wisconsin
32,2017,1,3,787407,35433,593378,0.0597,,,Alaska
33,2017,1,3,3400200,153009,2455022,0.0623,,,Arkansas
34,2017,1,3,8181014,368146,4634346,0.0794,,,Colorado
35,2017,1,3,3450020,155251,3015481,0.0515,,,Connecticut
36,2017,1,3,30220321,1359914,17722275,0.0767,,,Florida
37,2017,1,3,15922784,716525,10556100,0.0679,,,Illinois
38,2017,1,3,4174028,187831,2356231,0.0797,,,Kansas
39,2017,1,3,5959564,268180,3670568,0.0731,,,Kentucky
40,2017,1,3,8185604,368352,5815595,0.0633,,,Massachusetts
41,2017,1,3,9474397,426348,5037634,0.0846,,,Missouri
